prob_cases,tot_death
0.0,0.05303327358279185
0.5977922441807788,0.5903820300246471
0.3641723468829295,0.19619650459332288
0.22200764112380558,0.1926254761371275
0.4983568179616163,0.5669532825453731
0.010985097451823998,0.04495294644857719
0.7569504636261034,0.5355422361640153
0.0,0.027671969527223842
0.0,0.00042012099484651583
0.0,0.03496807080439167
0.45892830489079056,0.3567947568899843
0.5536266533291785,0.2837637239524983
0.2196783814853318,0.46795877212637244
0.07842495437060236,0.13826181940398835
0.4783649880460143,0.27579542908357607
0.45657416839277154,0.5620378669056688
0.008744870784354288,0.05948913287026664
0.47104595410612204,0.17435021286130406
0.06882641451132683,0.10533833744118307
0.0,0.0
0.22869427910788961,0.1815342818731795
0.0,2.8008066323101054e-05
0.00010736328856371487,0.001652475913062962
0.0,0.05303327358279185
0.07617163461916146,0.11162614833071925
0.022002927613575956,0.03449193367689895
0.1451983733152474,0.15122955411158415
0.7003124009835524,0.37600829038763167
0.00011652844734354419,0.002240645305848084
0.0,0.0
0.34538900861786787,0.31495070580327134
0.0,0.03353965942191351
0.8692681751645146,0.5605114272910598
0.0,0.048005825677795204
0.7124457618996494,0.4479470087385167
0.0,0.0
0.0,0.0
0.0003168526321026707,0.0030108671297333633
2.618616794236948e-05,0.0016944880125476138
0.0,2.8008066323101054e-05
0.0,0.03253136903428187
0.0,0.0
0.30621842930127446,0.14634214653820302
0.639127110277809,0.3668776607663007
5.237233588473896e-06,2.8008066323101054e-05
0.6091504945257816,0.44534225857046833
0.4759872839968472,0.2751792516244679
0.009315729245497943,0.06177179027559938
0.0,2.8008066323101054e-05
0.0,0.00023806856374635895
0.6017555206988564,0.44454402868025994
0.07635231917796381,0.2672949809545149
0.011731403238181528,0.03295149002912839
0.0,2.8008066323101054e-05
0.39032709142376815,0.25410318171633434
0.0,2.8008066323101054e-05
0.15060188907015537,0.15411438494286356
0.191653944553408,0.2858083127940847
0.004176693786807933,0.043286466502352676
0.010892136555628585,0.33060721487788486
0.03588421523982602,0.06412446784673986
0.0,0.011021174098140265
3.927925191355422e-06,0.0
0.0,0.06667320188214206
0.17243591590050303,0.32727425498543583
0.19531477083175125,0.2569319964149675
0.08687392145720788,0.06933396818283666
0.0,0.02471711853013668
0.25808039677281663,0.18688382254089178
0.0,0.0
0.46417863156323563,0.36316659197848983
0.5633233913182378,0.3189558592874748
0.020366292117177862,0.03229330047053552
0.19929637766738853,0.17600268877436703
0.20324656110149497,0.1833127940846964
0.1666356797012682,0.16736220031369034
0.3566006164223934,0.1859455523190679
0.7874468748117869,0.5292544252744791
0.021688693598267524,0.17954570916423931
0.10255812674629007,0.14540387631637913
0.7828695326554607,0.5184012995742774
0.0,0.0
0.08518098569973369,0.36129005153484206
0.27182420701736926,0.057976697288819184
0.044414359447052874,0.04573717230562402
0.3628276871590888,0.05937710060497423
0.6360882054880971,0.3656313018149227
0.12189530246333281,0.11638751960564643
0.16611457495921503,0.1664659421913511
0.19754190441524977,0.1749943983867354
0.523208800647322,0.5718126820524311
0.0013079990887213556,0.01779912614833072
0.2041002301764162,0.17737508402419896
0.0,0.000560161326462021
0.14522848740838115,0.1530220703562626
0.0,0.0
0.12422456210180657,0.10168328478601837
0.040080548652590725,0.08541059825229666
0.0,2.8008066323101054e-05
0.027652593347142172,0.08786130405556801
0.19570625404248967,0.17365001120322654
0.058027238851893655,0.09868642168944657
0.17330529667618969,0.17523246695048175
0.0,0.0
0.009407380833296236,0.3295149002912839
0.0003089967817199599,0.0029268429307640603
0.2620318895153202,0.48161270445888416
1.0474467176947792e-05,0.0005181492269773695
0.583350572560562,0.2871947120770782
0.02382679421076199,0.05266916872059153
0.13471081305432844,0.14700033609679589
0.5163192198616846,0.1762967734707596
0.0,2.8008066323101054e-05
0.18568873549613624,0.12561617745910822
0.1260615217829638,0.10309769213533498
0.16298925581529325,0.10447008738516693
0.0,0.000560161326462021
0.007410685527690563,0.023246695048173876
0.2349580104797044,0.23260699081335426
0.07769697890180449,0.07324109343490925
0.06793346618449203,0.2571420569123908
0.7448524540367287,0.5333576069908134
0.5781329785980449,0.28676058704907015
0.43310350606602577,0.25061617745910825
0.0,0.00043412502800806635
0.003378015664565663,0.01779912614833072
0.00019508695117065263,0.015614496975128837
0.1997271401300405,0.17611472103965942
0.18453261618148062,0.16918272462469192
0.09783806997467798,0.13781369034281873
0.21194167816675874,0.15716726417208157
0.0,0.014228097692135335
0.00017806594200811248,0.014648218686981851
0.6161382734412029,0.06691127044588842
0.7976673361596937,0.38956419448801255
0.22898494557204993,0.11593939054447681
0.010623728334219299,0.028330159085816715
0.0,0.00042012099484651583
0.22776467014593552,0.2222580103069684
